bairro,racial,renda,valor
Alto do Céu,Preta,Mais de 2 a 3 SM,30
Alto do Céu,Preta,Mais de 3 a 5 SM,19
Alto do Céu,Preta,Mais de 5 a 10 SM,9
Alto do Céu,Preta,Mais de 10 SM,0
Alto do Céu,Preta,Sem rendimento,560
Alto do Céu,Preta,Total,1288
Alto do Céu,Indígena,Até 1/2 SM,1
Alto do Céu,Indígena,Mais de 1/2 a 1 SM,5
Alto do Céu,Indígena,Mais de 1 a 2 SM,2
Alto do Céu,Indígena,Mais de 2 a 3 SM,0
Alto do Céu,Indígena,Mais de 3 a 5 SM,1
Alto do Céu,Indígena,Mais de 5 a 10 SM,0
Alto do Céu,Indígena,Mais de 10 SM,0
Alto do Céu,Indígena,Sem rendimento,10
Alto do Céu,Indígena,Total,19
Alto do Céu,Amarela,Até 1/2 SM,16
Alto do Céu,Amarela,Mais de 1/2 a 1 SM,81
Alto do Céu,Amarela,Mais de 1 a 2 SM,30
Alto do Céu,Amarela,Mais de 2 a 3 SM,5
Alto do Céu,Amarela,Mais de 3 a 5 SM,2
Alto do Céu,Amarela,Mais de 5 a 10 SM,0
Alto do Céu,Amarela,Mais de 10 SM,0
Alto do Céu,Amarela,Sem rendimento,131
Alto do Céu,Amarela,Total,265
Alto do Céu,Total,Até 1/2 SM,1009
Alto do Céu,Total,Mais de 1/2 a 1 SM,4252
Alto do Céu,Total,Mais de 1 a 2 SM,1428
Alto do Céu,Total,Mais de 2 a 3 SM,226
Alto do Céu,Total,Mais de 3 a 5 SM,137
Alto do Céu,Total,Mais de 5 a 10 SM,49
Alto do Céu,Total,Mais de 10 SM,9
Alto do Céu,Total,Sem rendimento,6322
Alto do Céu,Total,Total,13432
Alto do Mateus,Branca,Até 1/2 SM,277
Alto do Mateus,Branca,Mais de 1/2 a 1 SM,1312
Alto do Mateus,Branca,Mais de 1 a 2 SM,742
Alto do Mateus,Branca,Mais de 2 a 3 SM,183
Alto do Mateus,Branca,Mais de 3 a 5 SM,103
Alto do Mateus,Branca,Mais de 5 a 10 SM,46
Alto do Mateus,Branca,Mais de 10 SM,12
Alto do Mateus,Branca,Sem rendimento,1985
Alto do Mateus,Branca,Total,4660
Alto do Mateus,Parda,Até 1/2 SM,589
Alto do Mateus,Parda,Mais de 1/2 a 1 SM,2117
Alto do Mateus,Parda,Mais de 1 a 2 SM,1141
Alto do Mateus,Parda,Mais de 2 a 3 SM,234
Alto do Mateus,Parda,Mais de 3 a 5 SM,113
Alto do Mateus,Parda,Mais de 5 a 10 SM,42
Alto do Mateus,Parda,Mais de 10 SM,6
Alto do Mateus,Parda,Sem rendimento,3274
Alto do Mateus,Parda,Total,7516
Alto do Mateus,Preta,Até 1/2 SM,102
Alto do Mateus,Preta,Mais de 1/2 a 1 SM,412
Alto do Mateus,Preta,Mais de 1 a 2 SM,177
Alto do Mateus,Preta,Mais de 2 a 3 SM,35
Alto do Mateus,Preta,Mais de 3 a 5 SM,19
Alto do Mateus,Preta,Mais de 5 a 10 SM,2
Alto do Mateus,Preta,Mais de 10 SM,1
Alto do Mateus,Preta,Sem rendimento,548
Alto do Mateus,Preta,Total,1296
Alto do Mateus,Indígena,Até 1/2 SM,3
Alto do Mateus,Indígena,Mais de 1/2 a 1 SM,5
Alto do Mateus,Indígena,Mais de 1 a 2 SM,4
Alto do Mateus,Indígena,Mais de 2 a 3 SM,0
Alto do Mateus,Indígena,Mais de 3 a 5 SM,1
Alto do Mateus,Indígena,Mais de 5 a 10 SM,0
Alto do Mateus,Indígena,Mais de 10 SM,0
Alto do Mateus,Indígena,Sem rendimento,3
Alto do Mateus,Indígena,Total,16
Alto do Mateus,Amarela,Até 1/2 SM,21
Alto do Mateus,Amarela,Mais de 1/2 a 1 SM,47
Alto do Mateus,Amarela,Mais de 1 a 2 SM,27
Alto do Mateus,Amarela,Mais de 2 a 3 SM,8
Alto do Mateus,Amarela,Mais de 3 a 5 SM,4
Alto do Mateus,Amarela,Mais de 5 a 10 SM,0
Alto do Mateus,Amarela,Mais de 10 SM,0
Alto do Mateus,Amarela,Sem rendimento,125
Alto do Mateus,Amarela,Total,232
Alto do Mateus,Total,Até 1/2 SM,992
Alto do Mateus,Total,Mais de 1/2 a 1 SM,3893
Alto do Mateus,Total,Mais de 1 a 2 SM,2091
Alto do Mateus,Total,Mais de 2 a 3 SM,460
Alto do Mateus,Total,Mais de 3 a 5 SM,240
Alto do Mateus,Total,Mais de 5 a 10 SM,90
Alto do Mateus,Total,Mais de 10 SM,19
Alto do Mateus,Total,Sem rendimento,5935
Alto do Mateus,Total,Total,13720
Anatólia,Branca,Até 1/2 SM,10
Anatólia,Branca,Mais de 1/2 a 1 SM,55
Anatólia,Branca,Mais de 1 a 2 SM,96
Anatólia,Branca,Mais de 2 a 3 SM,57
Anatólia,Branca,Mais de 3 a 5 SM,75
Anatólia,Branca,Mais de 5 a 10 SM,77
Anatólia,Branca,Mais de 10 SM,25
Anatólia,Branca,Sem rendimento,169
Anatólia,Branca,Total,564
Anatólia,Parda,Até 1/2 SM,9
Anatólia,Parda,Mais de 1/2 a 1 SM,58
